"row","id","fitted_probability","standardized_pearson","cook_distance","leverage","residual_flag","cook_flag","leverage_flag","diagnostic_flag"
4,4,0.729977239166586,-1.67131196369194,0.0154802051540536,0.0321815397912328,FALSE,TRUE,TRUE,TRUE
7,7,0.754663070794422,-1.7759987569051,0.0133549291779175,0.0247749269822216,FALSE,TRUE,FALSE,TRUE
8,8,0.888444234442465,-2.86656222363968,0.0435154878636969,0.030795535927489,TRUE,TRUE,FALSE,TRUE
11,11,0.589270869208014,0.850088216421437,0.00443008805891311,0.0354771037881178,FALSE,FALSE,TRUE,TRUE
24,25,0.620714846337723,0.805602955923033,0.00671789891671032,0.0584755373493134,FALSE,FALSE,TRUE,TRUE
32,33,0.824569338461855,-2.19746668028834,0.0220201039362984,0.0266319582106093,TRUE,TRUE,FALSE,TRUE
37,38,0.636727405916666,0.767725328102946,0.00324926491068626,0.0320178369188986,FALSE,FALSE,TRUE,TRUE
74,76,0.641081239312297,-1.38058318951516,0.0213179905108246,0.0628874665641522,FALSE,TRUE,TRUE,TRUE
78,80,0.819873942863407,0.477026671459891,0.00135592873935816,0.0345181035448236,FALSE,FALSE,TRUE,TRUE
87,89,0.937595422802015,-3.90743543016854,0.0412558700161297,0.0159539708239109,TRUE,TRUE,FALSE,TRUE
106,108,0.814547368631453,-2.1161039723036,0.0145591706233851,0.0191347689037803,TRUE,TRUE,FALSE,TRUE
114,116,0.828973192832382,0.461918900185834,0.0012164772376097,0.0330762304282746,FALSE,FALSE,TRUE,TRUE
115,117,0.621198199426314,0.800243670708053,0.00535551216623661,0.0477798866869343,FALSE,FALSE,TRUE,TRUE
121,123,0.719197554076188,-1.62085955292976,0.011277000152535,0.0251079128275725,FALSE,TRUE,FALSE,TRUE
123,125,0.58662180579441,0.854906092177802,0.00452698257173977,0.0358323908374565,FALSE,FALSE,TRUE,TRUE
132,134,0.593234732350014,0.84291731274088,0.00428930302856846,0.0349554885801754,FALSE,FALSE,TRUE,TRUE
150,152,0.115165021746613,2.78554069267319,0.0127995951988716,0.00980056570453449,TRUE,TRUE,FALSE,TRUE
157,159,0.277029301952369,1.64381198595893,0.0159437160139586,0.0341922135598779,FALSE,TRUE,TRUE,TRUE
167,169,0.336686270693596,1.42652362131177,0.0111633197554875,0.0318656164664726,FALSE,TRUE,TRUE,TRUE
171,173,0.610915542508527,0.811462019063921,0.00371909202212966,0.0327776711758263,FALSE,FALSE,TRUE,TRUE
180,182,0.774936479101672,0.549037027645862,0.001905157547816,0.0365354626030245,FALSE,FALSE,TRUE,TRUE
185,187,0.760761540016879,0.587180954450064,0.00553839301133743,0.0879082486664477,FALSE,FALSE,TRUE,TRUE
190,192,0.719144331478759,-1.65297400534383,0.0305498332557943,0.0628678874163652,FALSE,TRUE,TRUE,TRUE
196,198,0.243916713362126,1.77984478358227,0.0115971593799794,0.0214932670263916,FALSE,TRUE,FALSE,TRUE
215,217,0.674746135964904,0.714514212007642,0.00502928968701113,0.0558080020034885,FALSE,FALSE,TRUE,TRUE
239,241,0.12027490328102,2.71798283877249,0.0123126177979367,0.0099011758320191,TRUE,TRUE,FALSE,TRUE
246,248,0.634767272126445,0.7830027364682,0.00669743398367734,0.0615122669314896,FALSE,FALSE,TRUE,TRUE
254,257,0.718645157210395,-1.61865692295681,0.0112526167908415,0.0251215048778049,FALSE,TRUE,FALSE,TRUE
267,270,0.226562740428389,1.87814165223988,0.0195682887551446,0.0322127144134326,FALSE,TRUE,TRUE,TRUE
271,274,0.133910629295887,2.55647571377196,0.0114356401483544,0.0103894534952069,TRUE,TRUE,FALSE,TRUE
272,275,0.126784973862226,2.63772643782817,0.0118244834538265,0.0100941053741689,TRUE,TRUE,FALSE,TRUE
275,278,0.102835067565869,2.96757419726437,0.0138269333537073,0.00933258226797992,TRUE,TRUE,FALSE,TRUE
289,292,0.0482270675384314,4.45652684343419,0.0210307370878771,0.00631338293087414,TRUE,TRUE,FALSE,TRUE
307,310,0.865941435498208,-2.55844126758077,0.0145575804932603,0.0131683875845281,TRUE,TRUE,FALSE,TRUE
309,312,0.187188455499451,2.11277692328863,0.0208371281522103,0.0272449074450447,TRUE,TRUE,FALSE,TRUE
316,319,0.76795446411788,0.56055839274601,0.00209115493462202,0.0383965118939115,FALSE,FALSE,TRUE,TRUE
321,324,0.478788835052277,1.06105971791375,0.00641975630448561,0.0330811180788458,FALSE,FALSE,TRUE,TRUE
335,338,0.546139541889967,0.941320487949508,0.0097828510159659,0.0621277134985692,FALSE,FALSE,TRUE,TRUE
342,345,0.838229674676409,0.450620317637385,0.00176557845909992,0.0495827969899201,FALSE,FALSE,TRUE,TRUE
349,352,0.328193373647277,-0.710489236433489,0.00280222282924566,0.0322336458819812,FALSE,FALSE,TRUE,TRUE
360,363,0.725100421687317,-1.65022074429665,0.0147183861222973,0.031409958153182,FALSE,TRUE,FALSE,TRUE
365,368,0.712392120338245,-1.59752669595181,0.0129024135947228,0.0294406937300703,FALSE,TRUE,FALSE,TRUE
368,371,0.189822928743144,2.08197316000823,0.0112637112204575,0.0153519494029081,TRUE,TRUE,FALSE,TRUE
